, Total Cost ex VAT ,Travel Class,day,month,Journey Finish Point_le,Journey Start Point_le,Air Carrier_le
1219,113.3,0,14,12,121,59,17
1220,484.71,0,15,12,133,65,44
1221,484.71,0,15,12,133,65,44
1222,484.71,0,15,12,133,65,44
1223,484.71,0,15,12,133,65,44
1224,231.9,0,15,12,110,65,18
1225,231.9,0,15,12,110,65,18
1226,231.9,0,15,12,110,65,18
1227,231.9,0,15,12,110,65,18
1228,343.98,0,11,2,167,39,32
1229,25.98,0,2,3,106,95,32
1230,12.99,0,9,3,98,95,32
1231,32.97,0,10,3,109,45,32
1232,61.48,0,19,3,26,45,32
1233,159.82,0,27,3,18,95,32
1234,38.97,0,29,3,106,95,32
1235,158.96,0,3,4,140,95,32
1236,60.0,0,3,4,109,39,17
1237,151.29,0,8,4,14,39,32
1238,61.98,0,8,4,6,95,32
1239,305.72,0,9,4,109,1,32
1240,249.7,0,10,4,154,59,17
1241,75.5,0,11,4,77,55,32
1242,1331.5,2,12,4,118,59,35
1243,1331.5,2,12,4,118,59,35
1244,765.7,0,13,4,142,59,17
1245,756.7,2,13,4,142,59,17
1246,346.11,0,13,4,172,39,32
1247,330.22,0,13,4,6,54,41
1248,295.4,0,13,4,123,77,41
1249,287.18,0,13,4,66,95,32
1250,287.18,0,13,4,66,95,32
1251,196.96,0,13,4,167,77,32
1252,151.76,0,13,4,167,39,32
1253,25.98,0,13,4,18,57,32
1254,410.05,0,14,4,96,32,32
1255,325.11,0,14,4,1,9,32
1256,306.17,2,14,4,111,32,17
1257,238.15,0,14,4,150,58,28
1258,213.8,0,14,4,1,95,27
1259,46.12,0,14,4,150,58,28
1260,10.73,0,15,4,109,39,17
1261,508.3,0,16,4,167,1,27
1262,374.89,0,16,4,167,9,32
1263,299.15,0,16,4,18,39,32
1264,232.76,0,16,4,167,39,32
1265,172.87,0,16,4,6,95,32
1266,154.68,0,16,4,6,95,32
1267,32.5,0,16,4,167,39,32
1268,125.48,0,17,4,60,95,32
1269,543.33,0,19,4,167,97,32
1270,261.0,0,19,4,167,1,27
1271,220.26,0,19,4,167,39,32
1272,1183.5,2,20,4,92,99,41
1273,676.1,0,20,4,142,77,8
1274,504.05,0,20,4,6,80,41
1275,291.58,0,20,4,6,33,32
1276,261.0,0,20,4,167,1,27
1277,252.5,0,20,4,150,58,26
1278,246.61,0,20,4,20,39,32
1279,246.61,0,20,4,20,39,32
1280,235.69,0,20,4,1,54,32
1281,228.76,0,20,4,77,95,32
1282,228.76,0,20,4,77,95,32
1283,228.76,0,20,4,77,95,32
1284,228.76,0,20,4,77,95,32
1285,185.92,0,20,4,167,32,32
1286,181.43,0,20,4,69,57,28
1287,172.12,0,20,4,90,97,32
1288,172.12,0,20,4,90,97,32
1289,131.0,0,20,4,20,39,32
1290,131.0,0,20,4,20,39,32
1291,115.0,0,20,4,77,86,11
1292,60.0,0,20,4,111,39,17
1293,1183.5,2,20,4,92,99,41
1294,532.7,2,21,4,180,100,35
1295,532.7,2,21,4,180,100,35
1296,262.3,2,21,4,66,59,17
1297,358.83,0,22,4,172,39,32
1298,191.3,0,22,4,1,95,27
1299,191.3,0,22,4,1,95,27
1300,73.8,0,23,4,108,34,54
1301,2199.1,2,25,4,16,99,41
1302,133.88,0,25,4,109,39,17
1303,2199.1,2,25,4,16,99,41
1304,204.0,3,26,4,135,7,6
1305,102.76,0,26,4,167,39,32
1306,34.0,0,26,4,167,39,32
1307,1427.5,2,28,4,159,77,41
1308,586.41,0,28,4,188,65,44
1309,447.64,0,28,4,154,58,17
1310,173.65,0,28,4,33,95,32
1311,173.65,0,28,4,33,95,32
1312,163.8,0,28,4,99,59,35
1313,163.7,0,28,4,99,59,35
1314,103.49,0,28,4,1,58,32
1315,83.5,0,28,4,109,77,32
1316,12.99,0,28,4,109,77,32
1317,1427.5,2,28,4,159,77,41
1318,562.3,2,29,4,154,59,17
1319,337.76,0,29,4,167,39,32
1320,303.3,0,29,4,167,1,27
1321,228.74,0,29,4,167,39,32
1322,752.0,0,30,4,13,5,41
1323,407.1,2,30,4,164,73,20
1324,289.22,2,30,4,110,32,17
1325,346.11,0,1,5,172,39,32
1326,80.0,2,3,5,154,58,17
1327,30.28,0,3,5,111,39,17
1328,3256.53,2,4,5,83,59,5
1329,3256.53,2,4,5,83,59,5
1330,760.7,2,5,5,142,59,17
1331,602.3,2,5,5,154,59,17
1332,551.8,2,5,5,154,58,17
1333,408.3,0,5,5,167,1,27
1334,401.26,0,5,5,106,97,32
1335,388.57,0,5,5,106,45,32
1336,383.3,0,5,5,1,95,27
1337,327.3,0,5,5,142,77,41
1338,293.71,0,5,5,167,9,32
1339,285.2,0,5,5,1,58,32
1340,243.87,0,5,5,167,9,32
1341,219.98,0,5,5,167,39,32
1342,204.2,0,5,5,167,32,32
1343,189.6,0,5,5,107,59,17
1344,172.0,0,5,5,107,58,61
1345,148.2,0,5,5,1,58,32
1346,143.93,0,5,5,150,77,28
1347,77.99,0,5,5,106,45,32
1348,22.24,2,5,5,106,59,17
1349,322.23,0,6,5,106,1,32
1350,307.61,0,6,5,106,39,32
1351,307.61,0,6,5,106,39,32
1352,249.15,0,6,5,18,39,32
1353,215.01,0,6,5,78,39,32
1354,155.0,0,6,5,1,95,27
1355,111.09,0,6,5,75,96,54
1356,68.4,0,6,5,106,39,32
1357,40.0,2,6,5,110,85,17
1358,95.22,0,7,5,140,83,28
1359,77.07,0,7,5,109,79,28
1360,2917.73,2,8,5,43,59,17
1361,266.02,0,8,5,26,97,32
1362,68.4,0,8,5,1,55,32
1363,2917.73,2,8,5,43,59,17
1364,220.24,0,9,5,77,95,32
1365,60.0,0,9,5,109,39,17
1366,17.28,0,9,5,109,39,17
1367,2372.23,2,10,5,164,59,41
1368,1046.7,2,10,5,159,77,41
1369,313.3,0,10,5,167,1,27
1370,247.87,0,10,5,167,9,32
1371,195.96,0,10,5,1,58,32
1372,179.24,0,10,5,167,39,32
1373,132.43,0,10,5,29,95,32
1374,57.49,0,10,5,167,9,32
1375,10.99,0,10,5,167,9,32
1376,1046.7,2,10,5,159,77,41
1377,2372.23,2,10,5,164,59,41
1378,3621.33,2,11,5,166,59,8
1379,1897.4,2,11,5,158,92,42
1380,625.5,2,11,5,6,44,41
1381,498.41,0,11,5,6,16,41
1382,440.2,0,11,5,153,95,8
1383,408.3,0,11,5,167,1,27
1384,408.3,0,11,5,1,95,27
1385,388.61,0,11,5,167,97,32
1386,321.26,0,11,5,167,39,32
1387,313.41,0,11,5,72,65,0
1388,313.3,0,11,5,1,95,27
1389,313.3,0,11,5,1,95,27
1390,307.24,0,11,5,167,39,32
1391,197.98,0,11,5,167,77,32
1392,181.96,0,11,5,93,95,32
1393,161.95,0,11,5,167,54,32
1394,121.48,0,11,5,77,95,32
1395,111.7,0,11,5,68,32,32
1396,91.22,0,11,5,167,39,32
1397,21.98,0,11,5,167,97,32
1398,1897.4,2,11,5,158,92,42
1399,3621.33,2,11,5,166,59,8
1400,562.5,2,12,5,154,59,17
1401,515.41,0,12,5,6,16,41
1402,423.56,0,12,5,96,32,32
1403,333.8,0,12,5,142,59,17
1404,321.83,0,12,5,53,65,1
1405,313.3,0,12,5,167,1,27
1406,308.3,0,12,5,172,95,27
1407,192.7,0,12,5,108,95,27
1408,192.7,0,12,5,108,95,27
1409,177.98,0,12,5,167,39,32
1410,177.26,0,12,5,77,95,32
1411,145.48,0,12,5,66,95,32
1412,138.0,0,12,5,77,95,32
1413,102.98,0,12,5,93,95,32
1414,95.94,0,12,5,142,77,28
1415,79.72,0,12,5,77,95,32
1416,79.72,0,12,5,77,95,32
1417,79.72,0,12,5,77,95,32
1418,65.0,0,12,5,77,95,32
1419,65.0,0,12,5,77,95,32
1420,65.0,0,12,5,77,95,32
1421,65.0,0,12,5,77,95,32
1422,17.0,0,12,5,31,4,41
1423,1927.4,2,13,5,16,77,41
1424,687.99,0,13,5,170,59,18
1425,624.8,0,13,5,171,77,41
1426,583.2,0,13,5,142,99,41
1427,408.3,0,13,5,167,1,27
1428,364.26,0,13,5,167,39,32
1429,346.62,0,13,5,20,39,32
1430,303.3,0,13,5,167,1,27
1431,288.97,0,13,5,18,1,32
1432,283.3,2,13,5,167,1,27
1433,176.95,0,13,5,105,95,32
1434,172.2,0,13,5,167,32,32
1435,151.96,0,13,5,93,95,32
1436,69.72,0,13,5,167,32,32
1437,34.0,0,13,5,93,95,32
1438,1927.4,2,13,5,16,77,41
1439,346.62,0,14,5,172,39,32
1440,310.6,3,14,5,135,7,20
1441,228.64,0,14,5,167,97,32
1442,192.0,0,14,5,172,95,32
1443,144.98,0,14,5,93,95,32
1444,116.29,0,14,5,41,39,32
1445,30.0,0,14,5,167,97,32
1446,1763.5,2,15,5,164,94,56
1447,95.94,0,15,5,66,58,28
1448,1763.5,2,15,5,164,94,56
1449,155.0,3,16,5,47,73,20
1450,120.0,2,16,5,47,23,41
1451,83.0,0,16,5,105,79,38
1452,555.3,0,17,5,198,44,41
1453,454.8,0,17,5,142,59,17
1454,269.24,0,17,5,167,39,32
1455,267.87,0,17,5,167,9,32
1456,257.28,0,17,5,167,45,32
1457,194.18,0,17,5,167,32,32
1458,157.96,0,17,5,167,77,32
1459,54.0,0,17,5,167,39,32
1460,539.88,0,18,5,172,95,32
1461,539.88,0,18,5,172,95,32
1462,412.7,0,18,5,108,95,27
1463,411.2,2,18,5,75,58,17
1464,408.3,0,18,5,167,1,27
1465,343.4,0,18,5,108,1,27
1466,301.26,0,18,5,167,39,32
1467,228.7,0,18,5,108,95,27
1468,211.87,0,18,5,6,33,32
1469,208.59,0,18,5,60,14,1
1470,190.34,0,18,5,6,32,41
1471,156.18,0,18,5,167,32,32
1472,97.86,0,18,5,108,9,32
1473,91.22,0,18,5,172,95,32
1474,74.4,0,18,5,108,9,32
1475,68.82,0,18,5,18,95,32
1476,734.2,0,19,5,154,77,41
1477,521.3,0,19,5,1,95,27
1478,515.8,0,19,5,106,95,32
1479,463.1,0,19,5,79,77,41
1480,408.3,0,19,5,1,95,27
1481,403.3,0,19,5,1,95,27
1482,299.94,0,19,5,106,58,32
1483,260.12,0,19,5,172,39,32
1484,260.12,0,19,5,172,39,32
1485,213.8,0,19,5,1,95,27
1486,204.5,0,19,5,1,97,27
1487,200.3,0,19,5,1,59,17
1488,166.2,0,19,5,1,58,32
1489,148.2,0,19,5,1,58,32
1490,137.98,0,19,5,154,54,54
1491,78.98,0,19,5,77,95,32
1492,78.98,0,19,5,77,95,32
1493,12.99,0,19,5,106,58,32
1494,711.0,2,20,5,61,58,17
1495,597.94,2,20,5,77,59,17
1496,283.4,0,20,5,108,1,27
1497,240.1,0,20,5,24,59,35
1498,198.26,0,20,5,77,95,32
1499,198.26,0,20,5,77,95,32
1500,157.98,0,20,5,167,77,32
1501,125.0,0,20,5,77,78,11
1502,113.0,0,20,5,77,95,32
1503,59.0,0,20,5,140,77,32
1504,41.98,0,20,5,18,39,32
1505,41.98,0,20,5,18,39,32
1506,35.98,0,20,5,105,9,32
1507,35.98,0,20,5,105,9,32
1508,400.5,0,21,5,167,97,27
1509,295.4,0,21,5,84,65,44
1510,241.61,0,21,5,172,45,32
1511,217.0,0,21,5,167,1,27
1512,182.48,0,21,5,172,39,32
1513,159.48,0,21,5,172,39,32
1514,115.0,0,21,5,1,57,27
1515,107.48,0,21,5,172,39,32
1516,107.14,0,21,5,1,55,32
1517,73.96,0,21,5,167,54,32
1518,73.96,0,21,5,167,54,32
1519,217.0,0,22,5,167,1,27
1520,198.48,0,22,5,172,95,32
1521,191.3,0,22,5,1,95,27
1522,177.14,0,22,5,77,97,32
1523,95.98,0,22,5,110,39,17
1524,89.48,0,22,5,105,95,32
1525,64.05,0,22,5,199,58,28
1526,14.5,0,22,5,66,32,17
1527,32.5,0,23,5,167,45,32
1528,274.5,0,24,5,79,59,17
1529,210.48,0,24,5,106,39,32
1530,1046.4,2,25,5,159,77,41
1531,1002.0,2,25,5,11,59,17
1532,370.24,0,25,5,167,39,32
1533,344.5,0,25,5,52,59,17
1534,344.5,0,25,5,52,59,17
1535,325.34,0,25,5,6,32,41
1536,323.1,0,25,5,84,59,17
1537,321.62,0,25,5,172,39,32
1538,287.87,0,25,5,167,9,32
1539,287.24,0,25,5,77,95,32
1540,282.24,0,25,5,167,39,32
1541,272.5,0,25,5,147,58,51
1542,263.87,0,25,5,167,9,32
1543,243.3,2,25,5,167,1,27
1544,191.3,0,25,5,1,95,27
1545,191.3,0,25,5,1,95,27
1546,179.24,0,25,5,167,39,32
1547,172.8,0,25,5,107,59,17
1548,169.15,0,25,5,77,9,32
1549,164.04,0,25,5,110,1,17
1550,161.95,0,25,5,167,54,32
1551,112.52,0,25,5,167,65,32
1552,71.92,0,25,5,167,32,32
1553,10.99,0,25,5,167,32,32
1554,1002.0,2,25,5,11,59,17
1555,1046.4,2,25,5,159,77,41
1556,1183.4,2,26,5,92,99,41
1557,413.23,0,26,5,106,1,32
1558,413.23,0,26,5,106,1,32
1559,365.92,0,26,5,167,32,32
1560,267.87,0,26,5,167,9,32
1561,213.15,0,26,5,18,39,32
1562,209.98,0,26,5,1,58,32
1563,180.96,0,26,5,1,58,32
1564,1183.4,2,26,5,92,99,41
1565,321.26,0,27,5,167,39,32
1566,310.87,0,27,5,167,9,32
1567,305.0,0,27,5,52,0,55
1568,216.3,0,27,5,1,95,27
1569,216.3,0,27,5,1,95,27
1570,205.14,0,27,5,66,55,32
1571,177.0,0,28,5,77,95,32
1572,157.98,0,28,5,167,77,32
1573,208.5,0,29,5,52,0,55
1574,208.5,0,29,5,52,0,55
1575,99.2,0,29,5,167,32,32
1576,99.2,0,29,5,167,32,32
1577,95.49,0,29,5,167,77,32
1578,585.24,0,1,6,6,32,41
1579,410.56,0,1,6,96,32,32
1580,123.93,0,1,6,6,58,28
1581,47.15,0,1,6,6,58,28
1582,40.0,2,1,6,154,59,17
1583,18.0,0,1,6,6,58,28
1584,562.2,2,2,6,154,59,17
1585,557.64,0,2,6,167,97,32
1586,479.9,0,2,6,142,77,8
1587,383.3,0,2,6,167,1,27
1588,353.87,0,2,6,167,9,32
1589,334.26,0,2,6,167,39,32
1590,319.92,0,2,6,167,32,32
1591,303.92,0,2,6,167,32,32
1592,273.3,0,2,6,167,1,27
1593,266.69,0,2,6,150,77,38
1594,232.5,0,2,6,153,95,32
1595,203.07,0,2,6,167,32,32
1596,141.06,0,2,6,105,95,32
1597,132.0,1,2,6,52,17,57
1598,98.48,0,2,6,33,95,32
1599,65.0,0,2,6,167,54,32
1600,65.0,0,2,6,167,54,32
1601,25.98,0,2,6,105,95,32
1602,21.98,0,2,6,167,97,32
1603,10.99,0,2,6,167,32,32
1604,757.9,2,3,6,13,59,17
1605,300.24,0,3,6,167,39,32
1606,154.97,0,3,6,90,97,32
1607,40.0,2,3,6,110,85,17
1608,441.75,0,4,6,6,80,41
1609,120.2,0,4,6,6,26,21
1610,89.77,0,4,6,167,4,32
1611,4002.43,2,5,6,124,59,52
1612,103.72,0,5,6,77,95,32
1613,75.83,0,5,6,66,95,32
1614,69.0,0,5,6,1,95,27
1615,50.0,0,5,6,1,95,27
1616,27.5,0,5,6,18,95,32
1617,4002.43,2,5,6,124,59,52
1618,1153.18,2,7,6,159,77,41
1619,551.6,2,7,6,154,58,17
1620,289.22,2,7,6,110,32,17
1621,270.24,0,7,6,167,39,32
1622,259.6,0,7,6,167,97,32
1623,236.81,0,7,6,90,58,32
1624,230.87,0,7,6,167,9,32
1625,217.0,0,7,6,167,1,27
1626,210.48,0,7,6,106,39,32
1627,172.87,0,7,6,167,9,32
1628,154.3,0,7,6,121,45,32
1629,42.53,0,7,6,150,15,16
1630,4.0,0,7,6,121,45,32
1631,1153.18,2,7,6,159,77,41
1632,3736.23,2,8,6,112,59,17
1633,3735.93,2,8,6,112,59,17
1634,579.52,0,8,6,106,95,32
1635,579.52,0,8,6,106,95,32
1636,313.3,0,8,6,1,95,27
1637,292.5,0,8,6,1,97,27
1638,288.97,0,8,6,1,9,32
1639,206.87,0,8,6,18,95,32
1640,206.87,0,8,6,18,95,32
1641,188.14,0,8,6,1,55,32
1642,176.96,0,8,6,1,58,32
1643,98.99,0,8,6,167,54,32
1644,50.0,0,8,6,6,32,41
1645,3736.23,2,8,6,112,59,17
1646,3735.93,2,8,6,112,59,17
1647,675.79,0,9,6,142,77,8
1648,656.7,2,9,6,123,58,17
1649,362.62,0,9,6,106,39,32
1650,195.0,0,9,6,167,1,27
1651,183.5,0,9,6,154,58,17
1652,134.87,0,9,6,167,9,32
1653,523.6,2,10,6,79,59,17
1654,323.3,0,10,6,1,95,27
1655,313.24,0,10,6,167,39,32
1656,304.16,0,10,6,60,95,32
1657,264.58,0,10,6,84,59,44
1658,192.0,0,10,6,167,1,27
1659,180.89,0,10,6,18,95,32
1660,164.47,0,10,6,60,21,1
1661,156.2,0,10,6,14,39,32
1662,147.96,0,10,6,140,95,32
1663,82.98,0,10,6,60,57,54
1664,68.9,0,10,6,4,83,4
1665,55.0,0,10,6,105,95,32
1666,234.33,0,11,6,60,95,32
1667,217.98,0,11,6,140,95,32
1668,197.98,0,11,6,140,95,32
1669,140.8,2,11,6,110,51,35
1670,105.88,0,11,6,111,39,17
1671,103.48,0,11,6,77,95,32
1672,74.48,0,11,6,105,95,32
1673,327.24,0,12,6,77,95,32
1674,303.3,0,12,6,167,1,27
1675,152.48,0,12,6,77,95,32
1676,94.48,0,12,6,172,39,32
1677,3775.0,2,13,6,87,99,41
1678,341.6,0,13,6,167,97,32
1679,174.21,0,13,6,9,60,8
1680,68.97,0,13,6,27,3,54
1681,25.98,0,13,6,167,97,32
1682,3775.0,2,13,6,87,99,41
1683,6415.33,2,14,6,30,59,56
1684,6415.33,2,14,6,30,59,56
1685,232.9,0,14,6,31,1,27
1686,180.87,0,14,6,167,9,32
1687,6415.33,2,14,6,30,59,56
1688,6415.33,2,14,6,30,59,56
1689,579.59,0,15,6,154,77,8
1690,360.0,0,15,6,142,59,17
1691,251.17,0,15,6,18,39,32
1692,246.9,0,15,6,84,59,17
1693,183.46,0,15,6,60,65,54
1694,183.07,0,15,6,84,61,28
1695,82.48,0,15,6,1,58,32
1696,450.8,0,16,6,117,59,35
1697,349.8,2,16,6,1,95,27
1698,349.8,2,16,6,1,95,27
1699,322.97,0,16,6,1,9,32
1700,260.17,2,16,6,111,32,17
1701,248.62,0,16,6,172,39,32
1702,298.3,0,17,6,1,95,27
1703,246.87,0,17,6,167,9,32
1704,228.1,0,17,6,123,58,17
1705,218.26,0,17,6,77,95,32
1706,203.4,0,17,6,107,59,61
1707,78.94,0,17,6,109,38,28
1708,60.0,2,17,6,111,32,17
1709,54.48,0,17,6,140,95,32
1710,35.88,0,17,6,109,38,28
1711,29.0,0,17,6,66,59,17
1712,2.0,0,17,6,140,95,32
1713,622.3,0,18,6,117,59,35
1714,504.35,0,18,6,6,80,41
1715,324.26,0,18,6,167,39,32
1716,212.24,0,18,6,167,39,32
1717,201.96,0,18,6,167,32,32
1718,201.96,0,18,6,167,32,32
1719,180.87,0,18,6,18,95,32
1720,86.0,0,18,6,167,9,32
1721,247.14,0,19,6,172,55,32
1722,231.96,0,19,6,109,1,32
1723,156.5,0,19,6,172,95,32
1724,60.0,0,19,6,109,39,17
1725,124.0,2,20,6,117,109,35
1726,34.0,0,20,6,18,1,32
1727,520.64,0,21,6,167,97,32
1728,266.84,0,21,6,167,55,32
1729,200.24,0,21,6,167,39,32
1730,200.24,0,21,6,167,39,32
1731,182.23,0,21,6,109,39,17
1732,142.93,0,21,6,74,58,28
1733,77.0,0,21,6,109,39,17
1734,43.96,0,21,6,167,97,32
1735,543.9,0,22,6,6,99,41
1736,346.7,0,22,6,1,57,27
1737,323.5,0,22,6,152,59,17
1738,313.3,0,22,6,167,1,27
1739,303.3,0,22,6,167,1,27
1740,303.3,0,22,6,167,1,27
1741,260.26,0,22,6,167,39,32
1742,259.52,0,22,6,53,13,1
1743,250.71,0,22,6,167,9,32
1744,241.9,2,22,6,99,59,34
1745,235.34,0,22,6,140,95,32
1746,230.54,0,22,6,6,32,41
1747,226.96,0,22,6,167,32,32
1748,189.52,0,22,6,136,58,32
1749,185.63,0,22,6,6,95,32
1750,185.63,0,22,6,6,95,32
1751,121.42,0,22,6,18,95,32
1752,117.79,0,22,6,60,57,54
1753,50.44,0,22,6,109,45,28
1754,9.0,0,22,6,109,45,28
1755,906.88,2,23,6,11,77,41
1756,709.9,2,23,6,150,59,35
1757,667.3,2,23,6,92,59,63
1758,321.12,0,23,6,20,39,32
1759,321.12,0,23,6,20,39,32
1760,260.0,0,23,6,92,59,63
1761,227.77,0,23,6,108,29,54
1762,44.0,2,23,6,86,59,31
1763,3613.33,2,24,6,88,59,22
1764,346.24,0,24,6,167,39,32
1765,303.3,0,24,6,1,95,27
1766,303.3,0,24,6,1,95,27
1767,241.61,0,24,6,90,97,32
1768,191.3,0,24,6,1,95,27
1769,178.0,0,24,6,6,32,41
1770,104.98,0,24,6,167,77,32
1771,81.99,0,24,6,90,95,32
1772,36.49,0,24,6,90,58,32
1773,21.98,0,24,6,90,95,32
1774,3613.33,2,24,6,88,59,22
1775,411.2,2,25,6,75,58,17
1776,334.26,0,25,6,77,95,32
1777,237.97,0,25,6,1,9,32
1778,191.3,0,25,6,1,95,27
1779,50.0,0,25,6,92,46,41
1780,44.0,0,25,6,86,106,31
1781,35.0,0,25,6,110,51,34
1782,193.13,0,26,6,60,39,1
1783,131.72,0,26,6,121,1,32
1784,120.51,0,26,6,77,97,32
1785,117.48,0,26,6,109,1,32
1786,60.0,0,27,6,111,39,17
1787,1047.88,2,28,6,159,77,41
1788,787.59,2,28,6,86,59,31
1789,361.69,0,28,6,172,9,32
1790,361.69,0,28,6,172,9,32
1791,273.3,0,28,6,167,1,27
1792,233.24,0,28,6,167,39,32
1793,202.96,0,28,6,167,77,32
1794,159.87,0,28,6,167,9,32
1795,153.3,0,28,6,1,59,17
1796,146.23,0,28,6,111,39,17
1797,1047.88,2,28,6,159,77,41
1798,480.12,0,29,6,167,97,32
1799,441.4,0,29,6,173,95,8
1800,432.12,0,29,6,167,97,32
1801,323.3,0,29,6,167,1,27
1802,273.3,2,29,6,167,1,27
1803,273.3,2,29,6,167,1,27
1804,215.62,0,29,6,6,33,32
1805,45.0,2,29,6,86,59,31
1806,711.0,2,30,6,61,58,17
1807,515.9,0,30,6,6,16,41
1808,500.34,0,30,6,6,32,41
1809,486.9,0,30,6,120,58,9
1810,411.1,2,30,6,75,58,17
1811,302.98,0,30,6,84,59,44
1812,253.24,0,30,6,167,39,32
1813,193.96,0,30,6,140,58,32
1814,186.76,0,30,6,167,39,32
1815,555.9,2,1,7,136,4,8
1816,295.61,0,1,7,106,97,32
1817,191.3,0,1,7,1,95,27
1818,181.34,0,1,7,140,95,32
1819,142.96,0,1,7,140,95,32
1820,142.96,0,1,7,140,95,32
1821,92.22,0,1,7,77,95,32
1822,92.22,0,1,7,77,95,32
1823,7287.33,2,2,7,175,59,65
1824,7287.33,2,2,7,175,59,65
1825,323.3,0,2,7,1,95,27
1826,116.48,0,2,7,167,77,32
1827,7287.33,2,2,7,175,59,65
1828,7287.33,2,2,7,175,59,65
1829,508.2,0,3,7,136,74,8
1830,88.36,0,3,7,140,95,32
1831,2158.43,2,5,7,59,59,65
1832,264.29,0,5,7,49,59,18
1833,249.24,0,5,7,167,39,32
1834,218.71,0,5,7,18,95,32
1835,155.15,0,5,7,18,39,32
1836,14.0,0,5,7,106,39,32
1837,2158.43,2,5,7,59,59,65
1838,2736.23,2,6,7,59,59,17
1839,1027.69,2,6,7,11,77,8
1840,410.62,0,6,7,106,39,32
1841,392.7,1,6,7,25,58,21
1842,322.74,0,6,7,1,55,32
1843,322.74,0,6,7,1,55,32
1844,313.5,0,6,7,172,1,27
1845,272.71,0,6,7,18,95,32
1846,272.71,0,6,7,18,95,32
1847,272.71,0,6,7,18,95,32
1848,272.71,0,6,7,18,95,32
1849,241.5,0,6,7,172,1,27
1850,241.5,0,6,7,172,1,27
1851,233.24,0,6,7,167,39,32
1852,225.9,0,6,7,99,59,35
1853,225.9,0,6,7,99,59,35
1854,210.53,0,6,7,52,58,28
1855,203.95,0,6,7,167,54,32
1856,175.96,0,6,7,167,32,32
1857,1027.69,2,6,7,11,77,8
1858,2736.23,2,6,7,59,59,17
1859,1050.88,2,7,7,159,77,41
1860,199.15,0,7,7,18,39,32
1861,181.75,0,7,7,167,45,32
1862,165.98,0,7,7,167,39,32
1863,100.94,0,7,7,150,58,28
1864,1050.88,2,7,7,159,77,41
1865,2149.78,2,8,7,16,77,41
1866,210.89,0,8,7,167,9,32
1867,206.99,0,8,7,105,95,32
1868,135.59,0,8,7,167,83,32
1869,2149.78,2,8,7,16,77,41
1870,2736.23,2,9,7,59,59,17
1871,717.34,0,9,7,154,77,17
1872,280.24,0,9,7,167,39,32
1873,2736.23,2,9,7,59,59,17
1874,691.4,2,10,7,6,44,41
1875,625.0,2,10,7,16,77,41
1876,273.3,0,12,7,167,1,27
1877,269.24,0,12,7,167,39,32
1878,256.9,0,12,7,167,97,32
1879,115.74,0,12,7,110,1,17
1880,782.03,2,13,7,92,59,17
1881,552.2,2,13,7,154,58,17
1882,205.5,0,13,7,33,59,17
1883,493.12,0,14,7,172,95,32
1884,330.2,0,14,7,26,32,32
1885,213.3,3,14,7,16,73,20
1886,186.96,0,14,7,167,32,32
1887,162.72,0,14,7,106,58,32
1888,157.98,0,14,7,167,77,32
1889,151.1,0,14,7,77,95,32
1890,144.0,0,14,7,109,1,32
1891,139.98,0,14,7,109,1,32
1892,134.48,0,14,7,77,95,32
1893,132.3,0,14,7,76,59,17
1894,95.49,0,14,7,167,77,32
1895,80.0,2,14,7,110,85,17
1896,8.7,2,14,7,16,7,41
1897,433.3,0,15,7,1,95,27
1898,424.26,0,15,7,77,95,32
1899,403.42,0,15,7,107,59,41
1900,388.89,0,15,7,18,95,32
1901,365.0,0,15,7,84,59,17
1902,365.0,0,15,7,84,59,17
1903,364.26,0,15,7,167,39,32
1904,342.76,0,15,7,118,58,1
1905,334.0,0,15,7,172,95,32
1906,313.5,0,15,7,1,97,27
1907,237.98,0,15,7,109,78,32
1908,191.3,0,15,7,1,95,27
1909,191.3,0,15,7,1,95,27
1910,81.48,0,15,7,66,95,32
1911,47.15,0,15,7,109,38,28
1912,39.0,0,15,7,111,39,17
1913,14.0,0,15,7,109,38,28
1914,7288.83,2,16,7,175,59,65
1915,616.24,0,16,7,167,1,32
1916,323.3,0,16,7,167,1,27
1917,150.76,0,16,7,167,39,32
1918,141.98,0,16,7,167,77,32
1919,132.5,0,16,7,50,25,49
1920,119.48,0,16,7,109,1,32
1921,7288.83,2,16,7,175,59,65
1922,3127.93,2,17,7,158,59,42
1923,219.15,0,17,7,18,39,32
1924,3127.93,2,17,7,158,59,42
1925,1450.0,2,18,7,174,98,10
1926,365.06,0,18,7,18,55,32
1927,221.12,0,18,7,167,97,32
1928,221.12,0,18,7,167,97,32
1929,1450.0,2,18,7,174,98,10
1930,426.12,0,20,7,167,97,32
1931,366.92,0,20,7,167,32,32
1932,354.98,0,20,7,167,39,32
1933,326.7,0,20,7,40,95,8
1934,323.3,0,20,7,167,1,27
1935,308.39,0,20,7,154,77,17
1936,265.97,0,20,7,90,95,32
1937,206.96,0,20,7,167,32,32
1938,202.87,0,20,7,167,9,32
1939,75.0,0,20,7,167,9,32
1940,25.98,0,20,7,167,97,32
1941,761.09,0,21,7,154,77,8
1942,642.5,2,21,7,154,59,17
1943,628.0,0,21,7,84,16,41
1944,206.76,0,21,7,167,39,32
1945,163.11,0,21,7,90,97,32
1946,163.11,0,21,7,90,97,32
1947,323.3,0,22,7,1,95,27
1948,286.62,0,22,7,172,39,32
